statement_id,source_artifact_id,source_representation_id,location,location_detail,source_wording,status,repetition_class,repetition_basis,repetition_peer_statement_ids,evidence_strength,notes
STMT-HN-0011,SRC-HN-002,SREP-HN-002,paragraph:10,style=Heading 1,2. Nutritional / Metabolic Bottlenecks,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0012,SRC-HN-002,SREP-HN-002,paragraph:11,style=Heading 1,3. Recommended Laboratory Framework,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0013,SRC-HN-002,SREP-HN-002,paragraph:12,style=Normal,Use a tiered approach. The goal is to identify actionable bottlenecks rather than order every possible biomarker.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0014,SRC-HN-002,SREP-HN-002,paragraph:13,style=Normal,Important: a serum β-catenin measurement is not a reliable proxy for what is happening inside hair-follicle stem cells. Tissue localization and downstream transcription are much closer to pathway activity.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0015,SRC-HN-002,SREP-HN-002,paragraph:14,style=Heading 1,4. How the B1 → Mitochondria Axis Fits,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0016,SRC-HN-002,SREP-HN-002,paragraph:15,style=Normal,"Thiamine diphosphate is the active B1 form and a cofactor for the pyruvate dehydrogenase complex, which converts pyruvate to acetyl-CoA. That connects carbohydrate metabolism to the TCA cycle and downstream oxidative phosphorylation. The hypothesis is not 'B1 directly raises β-catenin'; rather, impaired energy/redox metabolism may reduce the follicle's ability to execute a regenerative program.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0017,SRC-HN-002,SREP-HN-002,paragraph:16,style=Normal,Conceptual chain: B1/ThDP → PDH → acetyl-CoA → TCA → NADH/FADH₂ → electron transport → ATP/redox → cellular proliferation and signaling.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0018,SRC-HN-002,SREP-HN-002,paragraph:17,style=Heading 1,5. Food Architecture,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0019,SRC-HN-002,SREP-HN-002,paragraph:18,style=Normal,Build meals around five objectives:,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0020,SRC-HN-002,SREP-HN-002,paragraph:19,style=List Bullet,"Protein and essential amino acids: fish, eggs, poultry, lean meat, Greek yogurt, legumes and soy foods as tolerated.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0021,SRC-HN-002,SREP-HN-002,paragraph:20,style=List Bullet,"Mineral density: seafood, lean beef, legumes, pumpkin seeds, nuts, eggs and leafy vegetables.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0022,SRC-HN-002,SREP-HN-002,paragraph:21,style=List Bullet,"B-vitamin/mitochondrial support: meat/fish/eggs, legumes, whole grains or tubers, mushrooms, nuts/seeds.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0023,SRC-HN-002,SREP-HN-002,paragraph:22,style=List Bullet,"Redox support: colorful vegetables and fruit, sulfur-containing vegetables, adequate protein, olive oil, nuts/seeds and selenium-containing foods.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0024,SRC-HN-002,SREP-HN-002,paragraph:23,style=List Bullet,"Metabolic stability: minimally processed foods, fiber, diverse plants, adequate energy and appropriate carbohydrate portions.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0025,SRC-HN-002,SREP-HN-002,paragraph:24,style=Heading 1,6. High-Value Meal Templates,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0026,SRC-HN-002,SREP-HN-002,paragraph:25,style=Heading 1,7. Meal-Prep Company Selection Framework,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0027,SRC-HN-002,SREP-HN-002,paragraph:26,style=Normal,"Instead of choosing meals marketed as 'hair health,' select meals that repeatedly satisfy the nutritional architecture above. Prioritize seafood, eggs, lean meat, legumes, mushrooms and vegetables; favor olive-oil-forward sauces; and avoid chronically under-caloried plans.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0028,SRC-HN-002,SREP-HN-002,paragraph:27,style=Normal,"The company recommendations are a starting shortlist, not clinical endorsements. Menus and formulations change; inspect the current ingredient list and nutrition panel before ordering.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0029,SRC-HN-002,SREP-HN-002,paragraph:28,style=Heading 1,8. Practical Weekly Rotation,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0030,SRC-HN-002,SREP-HN-002,paragraph:29,style=Heading 1,9. Evidence Guardrails,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0031,SRC-HN-002,SREP-HN-002,paragraph:30,style=List Bullet,"Wnt/β-catenin is a central hair-follicle regenerative pathway, but it is not a simple 'more is better' target.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0032,SRC-HN-002,SREP-HN-002,paragraph:31,style=List Bullet,"Micronutrient deficiencies can contribute to hair abnormalities, but evidence for supplementation in people without deficiency is inconsistent.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0033,SRC-HN-002,SREP-HN-002,paragraph:32,style=List Bullet,"Recent 2026 experimental work provides a particularly interesting mechanistic link between iron deficiency, oxidative stress and reduced Wnt/β-catenin signaling, but the study used mice and cultured human follicular dermal papilla cells; it should not be interpreted as proof that iron supplementation regrows hair in humans.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0034,SRC-HN-002,SREP-HN-002,paragraph:33,style=List Bullet,"Vitamin D receptor biology has a direct mechanistic connection to canonical Wnt/β-catenin signaling in follicular stem-cell biology, but serum vitamin D correction should be individualized.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0035,SRC-HN-002,SREP-HN-002,paragraph:34,style=List Bullet,"Routine clinical care should also distinguish androgenetic alopecia, telogen effluvium, alopecia areata, scarring alopecia, thyroid disease, medication effects and other causes. Nutrition is one layer, not the entire diagnosis.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0036,SRC-HN-002,SREP-HN-002,paragraph:35,style=Heading 1,10. Research References,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0037,SRC-HN-002,SREP-HN-002,paragraph:36,style=List Bullet,Targeting Wnt/β-Catenin Pathway for Developing Therapies for Hair Loss. PubMed PMID 32664659.  https://pubmed.ncbi.nlm.nih.gov/32664659/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0038,SRC-HN-002,SREP-HN-002,paragraph:37,style=List Bullet,Advances in Regenerative Stem Cell Therapy in Androgenic Alopecia and Hair Loss. PubMed PMID 31100937.  https://pubmed.ncbi.nlm.nih.gov/31100937/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0039,SRC-HN-002,SREP-HN-002,paragraph:38,style=List Bullet,Molecular Mechanisms of Hair Growth and Regeneration. PubMed PMID 32163945.  https://pubmed.ncbi.nlm.nih.gov/32163945/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0040,SRC-HN-002,SREP-HN-002,paragraph:39,style=List Bullet,The Role of Vitamins and Minerals in Hair Loss: A Review. PubMed PMID 30547302.  https://pubmed.ncbi.nlm.nih.gov/30547302/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0041,SRC-HN-002,SREP-HN-002,paragraph:40,style=List Bullet,Micronutrients and Androgenetic Alopecia: A Systematic Review. PubMed PMID 39440586.  https://pubmed.ncbi.nlm.nih.gov/39440586/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0042,SRC-HN-002,SREP-HN-002,paragraph:41,style=List Bullet,"Iron Deficiency-Induced Hair Loss Is Associated with ROS-Mediated Disruption of Wnt/β-Catenin Signaling. Nutrients, 2026;18(14):2321. PubMed PMID 42514390.  https://pubmed.ncbi.nlm.nih.gov/42514390/",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0043,SRC-HN-002,SREP-HN-002,paragraph:42,style=List Bullet,Vitamin D receptor is essential for normal keratinocyte stem cell function. PubMed PMID 17517646.  https://pubmed.ncbi.nlm.nih.gov/17517646/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0044,SRC-HN-002,SREP-HN-002,paragraph:43,style=List Bullet,NIH ODS: Dietary Supplements for Primary Mitochondrial Disorders — thiamin and energy metabolism.  https://ods.od.nih.gov/factsheets/PrimaryMitochondrialDisorders-HealthProfessional/,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0045,SRC-HN-002,SREP-HN-002,paragraph:44,style=Heading 1,11. Next Research Phase,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0046,SRC-HN-002,SREP-HN-002,paragraph:45,style=Normal,"The next useful step is to convert this framework into a quantitative 'Hair Follicle Optimization Matrix': each laboratory marker is mapped to its physiological bottleneck, food sources, meal-prep menu items and follow-up interval. The same matrix can score meals for protein, iron, zinc, selenium, copper, magnesium, B vitamins, vitamin D, omega-3s, sulfur amino acids, fiber and plant diversity.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0047,SRC-HN-002,SREP-HN-002,paragraph:46,style=Normal,"Clinical note: This document is an evidence-informed research framework, not a diagnosis or individualized treatment plan. Abnormal laboratory results should be interpreted in clinical context, and iron, zinc, selenium, vitamin A and other high-dose supplements should not be started solely to pursue hair growth without appropriate assessment.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0048,SRC-HN-002,SREP-HN-002,table:0|row:0|col:0,table_cell,Factor,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0266,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0049,SRC-HN-002,SREP-HN-002,table:0|row:0|col:1,table_cell,Why it matters,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0267,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0050,SRC-HN-002,SREP-HN-002,table:0|row:0|col:2,table_cell,Evidence / interpretation,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0051,SRC-HN-002,SREP-HN-002,table:0|row:1|col:0,table_cell,Energy availability,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0052,SRC-HN-002,SREP-HN-002,table:0|row:1|col:1,table_cell,Follicles are highly proliferative during anagen; chronic energy restriction can impair growth.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0053,SRC-HN-002,SREP-HN-002,table:0|row:1|col:2,table_cell,Strong biological rationale; hair shedding is not specific to Wnt.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0054,SRC-HN-002,SREP-HN-002,table:0|row:2|col:0,table_cell,Protein / essential amino acids,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0272,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0055,SRC-HN-002,SREP-HN-002,table:0|row:2|col:1,table_cell,Provides substrate for keratin and cellular protein synthesis; sulfur amino acids support keratin and glutathione.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0056,SRC-HN-002,SREP-HN-002,table:0|row:2|col:2,table_cell,High practical importance; deficiency is more relevant than excess.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0057,SRC-HN-002,SREP-HN-002,table:0|row:3|col:0,table_cell,Iron,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0275,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0058,SRC-HN-002,SREP-HN-002,table:0|row:3|col:1,table_cell,"Required for oxygen handling, mitochondrial enzymes and DNA synthesis. Iron deficiency can impair follicular biology.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0059,SRC-HN-002,SREP-HN-002,table:0|row:3|col:2,table_cell,High relevance. A 2026 mouse/cell study linked iron deficiency with oxidative stress and reduced Wnt/β-catenin signaling; human extrapolation remains limited.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0060,SRC-HN-002,SREP-HN-002,table:0|row:4|col:0,table_cell,Zinc,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0208;STMT-HN-0278;STMT-HN-0449,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0061,SRC-HN-002,SREP-HN-002,table:0|row:4|col:1,table_cell,"Supports transcription, DNA/protein synthesis, epithelial biology and immune function.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0062,SRC-HN-002,SREP-HN-002,table:0|row:4|col:2,table_cell,Deficiency is associated with hair abnormalities; supplementation should be deficiency-directed.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0063,SRC-HN-002,SREP-HN-002,table:0|row:5|col:0,table_cell,Vitamin D / VDR,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0064,SRC-HN-002,SREP-HN-002,table:0|row:5|col:1,table_cell,VDR is important for normal follicular stem-cell function and interacts with canonical Wnt signaling.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0065,SRC-HN-002,SREP-HN-002,table:0|row:5|col:2,table_cell,Mechanistic evidence is strong; serum vitamin D is not a direct Wnt assay.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0066,SRC-HN-002,SREP-HN-002,table:0|row:6|col:0,table_cell,B1 / thiamine,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0284,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0067,SRC-HN-002,SREP-HN-002,table:0|row:6|col:1,table_cell,ThDP is a cofactor for pyruvate dehydrogenase and other energy-metabolism enzymes.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0068,SRC-HN-002,SREP-HN-002,table:0|row:6|col:2,table_cell,Important if deficiency or metabolic dysfunction is suspected; not proven as a direct hair-growth treatment.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0069,SRC-HN-002,SREP-HN-002,table:0|row:7|col:0,table_cell,B2/B3/B5/B6/B12/folate,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0070,SRC-HN-002,SREP-HN-002,table:0|row:7|col:1,table_cell,"Support flavoproteins, NAD metabolism, CoA, amino-acid metabolism and DNA synthesis.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0071,SRC-HN-002,SREP-HN-002,table:0|row:7|col:2,table_cell,Correct deficiency; avoid assuming high-dose supplementation improves hair.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0072,SRC-HN-002,SREP-HN-002,table:0|row:8|col:0,table_cell,Magnesium,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0210;STMT-HN-0290;STMT-HN-0455,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0073,SRC-HN-002,SREP-HN-002,table:0|row:8|col:1,table_cell,Supports ATP-dependent reactions and numerous enzymes.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0074,SRC-HN-002,SREP-HN-002,table:0|row:8|col:2,table_cell,Useful nutritional adequacy target; serum magnesium is an imperfect status marker.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0075,SRC-HN-002,SREP-HN-002,table:0|row:9|col:0,table_cell,Selenium,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0293,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0076,SRC-HN-002,SREP-HN-002,table:0|row:9|col:1,table_cell,Required for selenoproteins involved in redox and thyroid physiology.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0077,SRC-HN-002,SREP-HN-002,table:0|row:9|col:2,table_cell,Deficiency and excess can both be harmful.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0078,SRC-HN-002,SREP-HN-002,table:0|row:10|col:0,table_cell,Copper,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0296,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0079,SRC-HN-002,SREP-HN-002,table:0|row:10|col:1,table_cell,"Important for connective tissue, iron handling and enzymes.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0080,SRC-HN-002,SREP-HN-002,table:0|row:10|col:2,table_cell,Especially important when zinc intake is high; test if clinically indicated.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0081,SRC-HN-002,SREP-HN-002,table:0|row:11|col:0,table_cell,Omega-3 fatty acids,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0299,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0082,SRC-HN-002,SREP-HN-002,table:0|row:11|col:1,table_cell,Support membrane composition and inflammatory signaling.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0083,SRC-HN-002,SREP-HN-002,table:0|row:11|col:2,table_cell,Good dietary target; direct Wnt effects in human hair are not established.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0084,SRC-HN-002,SREP-HN-002,table:0|row:12|col:0,table_cell,Redox balance,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0085,SRC-HN-002,SREP-HN-002,table:0|row:12|col:1,table_cell,"ROS participate in signaling, but excessive oxidative stress can damage mitochondria and cells.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0086,SRC-HN-002,SREP-HN-002,table:0|row:12|col:2,table_cell,Treat underlying deficiency/inflammation rather than megadosing antioxidants.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0087,SRC-HN-002,SREP-HN-002,table:0|row:13|col:0,table_cell,Thyroid physiology,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0088,SRC-HN-002,SREP-HN-002,table:0|row:13|col:1,table_cell,Thyroid hormones affect metabolic and follicular biology.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0089,SRC-HN-002,SREP-HN-002,table:0|row:13|col:2,table_cell,Evaluate when symptoms/history or diffuse shedding suggests endocrine involvement.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0090,SRC-HN-002,SREP-HN-002,table:1|row:0|col:0,table_cell,Tier,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0091,SRC-HN-002,SREP-HN-002,table:1|row:0|col:1,table_cell,Tests,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0092,SRC-HN-002,SREP-HN-002,table:1|row:0|col:2,table_cell,Purpose,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0093,SRC-HN-002,SREP-HN-002,table:1|row:1|col:0,table_cell,Core,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0433;STMT-HN-0436;STMT-HN-0439;STMT-HN-0442,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0094,SRC-HN-002,SREP-HN-002,table:1|row:1|col:1,table_cell,CBC; ferritin; serum iron; TIBC/transferrin; transferrin saturation; CMP; TSH; free T4; 25-OH vitamin D,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0095,SRC-HN-002,SREP-HN-002,table:1|row:1|col:2,table_cell,"Anemia/iron status, organ function, thyroid screening and vitamin-D status.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0096,SRC-HN-002,SREP-HN-002,table:1|row:2|col:0,table_cell,Micronutrients,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0097,SRC-HN-002,SREP-HN-002,table:1|row:2|col:1,table_cell,Zinc; copper; ceruloplasmin; magnesium; B12; folate,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0098,SRC-HN-002,SREP-HN-002,table:1|row:2|col:2,table_cell,Identify plausible nutritional/cofactor problems.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0099,SRC-HN-002,SREP-HN-002,table:1|row:3|col:0,table_cell,Thyroid expansion,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0100,SRC-HN-002,SREP-HN-002,table:1|row:3|col:1,table_cell,Free T3; TPO antibody; thyroglobulin antibody when clinically indicated,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0101,SRC-HN-002,SREP-HN-002,table:1|row:3|col:2,table_cell,Clarify thyroid physiology/autoimmunity when appropriate.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0102,SRC-HN-002,SREP-HN-002,table:1|row:4|col:0,table_cell,Metabolic,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0103,SRC-HN-002,SREP-HN-002,table:1|row:4|col:1,table_cell,Fasting glucose; HbA1c; fasting insulin; lipid panel,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0104,SRC-HN-002,SREP-HN-002,table:1|row:4|col:2,table_cell,"Context for insulin/IGF-1, metabolic health and nutrient signaling.",requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0105,SRC-HN-002,SREP-HN-002,table:1|row:5|col:0,table_cell,B1/mitochondrial hypothesis,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0106,SRC-HN-002,SREP-HN-002,table:1|row:5|col:1,table_cell,Whole-blood thiamine diphosphate (ThDP/TDP); lactate; pyruvate; MMA; homocysteine,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0107,SRC-HN-002,SREP-HN-002,table:1|row:5|col:2,table_cell,Investigate specific B1/B-vitamin/energy-metabolism hypotheses.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0108,SRC-HN-002,SREP-HN-002,table:1|row:6|col:0,table_cell,Specialized / research,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0109,SRC-HN-002,SREP-HN-002,table:1|row:6|col:1,table_cell,Plasma amino acids; acylcarnitine profile; urine organic acids; CoQ10; carnitine,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0110,SRC-HN-002,SREP-HN-002,table:1|row:6|col:2,table_cell,Reserve for a clinician-directed metabolic workup; not routine hair-loss tests.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0111,SRC-HN-002,SREP-HN-002,table:1|row:7|col:0,table_cell,Research Wnt,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0112,SRC-HN-002,SREP-HN-002,table:1|row:7|col:1,table_cell,Active/non-phosphorylated β-catenin; nuclear localization; AXIN2; LEF1/TCF and pathway components,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0113,SRC-HN-002,SREP-HN-002,table:1|row:7|col:2,table_cell,Research-level assessment of pathway activity; not a routine blood panel.,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0114,SRC-HN-002,SREP-HN-002,table:2|row:0|col:0,table_cell,Meal,requires_classification,repetition,identical_normalized_wording_across_distinct_sha256; independence_not_established,STMT-HN-0305,not_assigned,intake_only; wording preserved; no interpretation
STMT-HN-0115,SRC-HN-002,SREP-HN-002,table:2|row:0|col:1,table_cell,Core ingredients,requires_classification,unclear,,,not_assigned,intake_only; wording preserved; no interpretation
