statement_id,source_artifact_id,source_representation_id,location,location_detail,source_wording,pass1_repetition_class,statement_kind,claim_status,actionability_class,epistemic_scope,independence,evidence_relation,evidence_strength,ambiguity_flag,classification_notes
STMT-HN-0019,SRC-HN-002,SREP-HN-002,paragraph:18,style=Normal,Build meals around five objectives:,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0020,SRC-HN-002,SREP-HN-002,paragraph:19,style=List Bullet,"Protein and essential amino acids: fish, eggs, poultry, lean meat, Greek yogurt, legumes and soy foods as tolerated.",unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,none,Wording asserts a nutrition-related proposition or nutrient role. Not evaluated for factual truth; historical source wording only.
STMT-HN-0021,SRC-HN-002,SREP-HN-002,paragraph:20,style=List Bullet,"Mineral density: seafood, lean beef, legumes, pumpkin seeds, nuts, eggs and leafy vegetables.",unclear,descriptive,candidate,informational,source_assertion,unclear,,0,none,General descriptive prose without clear directive or mechanism markers. Not evaluated for factual truth; historical source wording only.
STMT-HN-0022,SRC-HN-002,SREP-HN-002,paragraph:21,style=List Bullet,"B-vitamin/mitochondrial support: meat/fish/eggs, legumes, whole grains or tubers, mushrooms, nuts/seeds.",unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,none,Wording asserts a nutrition-related proposition or nutrient role. Not evaluated for factual truth; historical source wording only.
STMT-HN-0023,SRC-HN-002,SREP-HN-002,paragraph:22,style=List Bullet,"Redox support: colorful vegetables and fruit, sulfur-containing vegetables, adequate protein, olive oil, nuts/seeds and selenium-containing foods.",unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0024,SRC-HN-002,SREP-HN-002,paragraph:23,style=List Bullet,"Metabolic stability: minimally processed foods, fiber, diverse plants, adequate energy and appropriate carbohydrate portions.",unclear,descriptive,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0025,SRC-HN-002,SREP-HN-002,paragraph:24,style=Heading 1,6. High-Value Meal Templates,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0026,SRC-HN-002,SREP-HN-002,paragraph:25,style=Heading 1,7. Meal-Prep Company Selection Framework,unclear,unclear,candidate,informational,source_assertion,unclear,,0,type_ambiguous,Wording does not reliably fit a single statement_kind; left conservative. Not evaluated for factual truth; historical source wording only.
STMT-HN-0027,SRC-HN-002,SREP-HN-002,paragraph:26,style=Normal,"Instead of choosing meals marketed as 'hair health,' select meals that repeatedly satisfy the nutritional architecture above. Prioritize seafood, eggs, lean meat, legumes, mushrooms and vegetables; favor olive-oil-forward sauces; and avoid chronically under-caloried plans.",unclear,warning_or_boundary,candidate,recommendation,source_recommendation,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0028,SRC-HN-002,SREP-HN-002,paragraph:27,style=Normal,"The company recommendations are a starting shortlist, not clinical endorsements. Menus and formulations change; inspect the current ingredient list and nutrition panel before ordering.",unclear,clinical_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0029,SRC-HN-002,SREP-HN-002,paragraph:28,style=Heading 1,8. Practical Weekly Rotation,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0030,SRC-HN-002,SREP-HN-002,paragraph:29,style=Heading 1,9. Evidence Guardrails,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0031,SRC-HN-002,SREP-HN-002,paragraph:30,style=List Bullet,"Wnt/β-catenin is a central hair-follicle regenerative pathway, but it is not a simple 'more is better' target.",unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0032,SRC-HN-002,SREP-HN-002,paragraph:31,style=List Bullet,"Micronutrient deficiencies can contribute to hair abnormalities, but evidence for supplementation in people without deficiency is inconsistent.",unclear,descriptive,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0033,SRC-HN-002,SREP-HN-002,paragraph:32,style=List Bullet,"Recent 2026 experimental work provides a particularly interesting mechanistic link between iron deficiency, oxidative stress and reduced Wnt/β-catenin signaling, but the study used mice and cultured human follicular dermal papilla cells; it should not be interpreted as proof that iron supplementation regrows hair in humans.",unclear,recommendation,candidate,recommendation,source_recommendation,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0034,SRC-HN-002,SREP-HN-002,paragraph:33,style=List Bullet,"Vitamin D receptor biology has a direct mechanistic connection to canonical Wnt/β-catenin signaling in follicular stem-cell biology, but serum vitamin D correction should be individualized.",unclear,recommendation,candidate,recommendation,source_recommendation,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0035,SRC-HN-002,SREP-HN-002,paragraph:34,style=List Bullet,"Routine clinical care should also distinguish androgenetic alopecia, telogen effluvium, alopecia areata, scarring alopecia, thyroid disease, medication effects and other causes. Nutrition is one layer, not the entire diagnosis.",unclear,therapeutic_claim,candidate,recommendation,source_recommendation,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0036,SRC-HN-002,SREP-HN-002,paragraph:35,style=Heading 1,10. Research References,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0037,SRC-HN-002,SREP-HN-002,paragraph:36,style=List Bullet,Targeting Wnt/β-Catenin Pathway for Developing Therapies for Hair Loss. PubMed PMID 32664659.  https://pubmed.ncbi.nlm.nih.gov/32664659/,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0038,SRC-HN-002,SREP-HN-002,paragraph:37,style=List Bullet,Advances in Regenerative Stem Cell Therapy in Androgenic Alopecia and Hair Loss. PubMed PMID 31100937.  https://pubmed.ncbi.nlm.nih.gov/31100937/,unclear,clinical_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0039,SRC-HN-002,SREP-HN-002,paragraph:38,style=List Bullet,Molecular Mechanisms of Hair Growth and Regeneration. PubMed PMID 32163945.  https://pubmed.ncbi.nlm.nih.gov/32163945/,unclear,unclear,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0040,SRC-HN-002,SREP-HN-002,paragraph:39,style=List Bullet,The Role of Vitamins and Minerals in Hair Loss: A Review. PubMed PMID 30547302.  https://pubmed.ncbi.nlm.nih.gov/30547302/,unclear,clinical_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0041,SRC-HN-002,SREP-HN-002,paragraph:40,style=List Bullet,Micronutrients and Androgenetic Alopecia: A Systematic Review. PubMed PMID 39440586.  https://pubmed.ncbi.nlm.nih.gov/39440586/,unclear,clinical_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0042,SRC-HN-002,SREP-HN-002,paragraph:41,style=List Bullet,"Iron Deficiency-Induced Hair Loss Is Associated with ROS-Mediated Disruption of Wnt/β-Catenin Signaling. Nutrients, 2026;18(14):2321. PubMed PMID 42514390.  https://pubmed.ncbi.nlm.nih.gov/42514390/",unclear,associational,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0043,SRC-HN-002,SREP-HN-002,paragraph:42,style=List Bullet,Vitamin D receptor is essential for normal keratinocyte stem cell function. PubMed PMID 17517646.  https://pubmed.ncbi.nlm.nih.gov/17517646/,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0044,SRC-HN-002,SREP-HN-002,paragraph:43,style=List Bullet,NIH ODS: Dietary Supplements for Primary Mitochondrial Disorders — thiamin and energy metabolism.  https://ods.od.nih.gov/factsheets/PrimaryMitochondrialDisorders-HealthProfessional/,unclear,unclear,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0045,SRC-HN-002,SREP-HN-002,paragraph:44,style=Heading 1,11. Next Research Phase,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0046,SRC-HN-002,SREP-HN-002,paragraph:45,style=Normal,"The next useful step is to convert this framework into a quantitative 'Hair Follicle Optimization Matrix': each laboratory marker is mapped to its physiological bottleneck, food sources, meal-prep menu items and follow-up interval. The same matrix can score meals for protein, iron, zinc, selenium, copper, magnesium, B vitamins, vitamin D, omega-3s, sulfur amino acids, fiber and plant diversity.",unclear,laboratory_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0047,SRC-HN-002,SREP-HN-002,paragraph:46,style=Normal,"Clinical note: This document is an evidence-informed research framework, not a diagnosis or individualized treatment plan. Abnormal laboratory results should be interpreted in clinical context, and iron, zinc, selenium, vitamin A and other high-dose supplements should not be started solely to pursue hair growth without appropriate assessment.",unclear,recommendation,candidate,recommendation,source_recommendation,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0048,SRC-HN-002,SREP-HN-002,table:0|row:0|col:0,table_cell,Factor,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0049,SRC-HN-002,SREP-HN-002,table:0|row:0|col:1,table_cell,Why it matters,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0050,SRC-HN-002,SREP-HN-002,table:0|row:0|col:2,table_cell,Evidence / interpretation,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0051,SRC-HN-002,SREP-HN-002,table:0|row:1|col:0,table_cell,Energy availability,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0052,SRC-HN-002,SREP-HN-002,table:0|row:1|col:1,table_cell,Follicles are highly proliferative during anagen; chronic energy restriction can impair growth.,unclear,descriptive,candidate,informational,source_assertion,unclear,,0,none,General descriptive prose without clear directive or mechanism markers. Not evaluated for factual truth; historical source wording only.
STMT-HN-0053,SRC-HN-002,SREP-HN-002,table:0|row:1|col:2,table_cell,Strong biological rationale; hair shedding is not specific to Wnt.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0054,SRC-HN-002,SREP-HN-002,table:0|row:2|col:0,table_cell,Protein / essential amino acids,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0055,SRC-HN-002,SREP-HN-002,table:0|row:2|col:1,table_cell,Provides substrate for keratin and cellular protein synthesis; sulfur amino acids support keratin and glutathione.,unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0056,SRC-HN-002,SREP-HN-002,table:0|row:2|col:2,table_cell,High practical importance; deficiency is more relevant than excess.,unclear,warning_or_boundary,candidate,informational,source_warning,unclear,,0,none,"Wording sets a caution, avoidance, or safety boundary. Not evaluated for factual truth; historical source wording only."
STMT-HN-0057,SRC-HN-002,SREP-HN-002,table:0|row:3|col:0,table_cell,Iron,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0058,SRC-HN-002,SREP-HN-002,table:0|row:3|col:1,table_cell,"Required for oxygen handling, mitochondrial enzymes and DNA synthesis. Iron deficiency can impair follicular biology.",unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0059,SRC-HN-002,SREP-HN-002,table:0|row:3|col:2,table_cell,High relevance. A 2026 mouse/cell study linked iron deficiency with oxidative stress and reduced Wnt/β-catenin signaling; human extrapolation remains limited.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0060,SRC-HN-002,SREP-HN-002,table:0|row:4|col:0,table_cell,Zinc,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0061,SRC-HN-002,SREP-HN-002,table:0|row:4|col:1,table_cell,"Supports transcription, DNA/protein synthesis, epithelial biology and immune function.",unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0062,SRC-HN-002,SREP-HN-002,table:0|row:4|col:2,table_cell,Deficiency is associated with hair abnormalities; supplementation should be deficiency-directed.,unclear,recommendation,candidate,recommendation,source_recommendation,unclear,,0,none,Wording directs or advises an action in the historical source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0063,SRC-HN-002,SREP-HN-002,table:0|row:5|col:0,table_cell,Vitamin D / VDR,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0064,SRC-HN-002,SREP-HN-002,table:0|row:5|col:1,table_cell,VDR is important for normal follicular stem-cell function and interacts with canonical Wnt signaling.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0065,SRC-HN-002,SREP-HN-002,table:0|row:5|col:2,table_cell,Mechanistic evidence is strong; serum vitamin D is not a direct Wnt assay.,unclear,laboratory_claim,candidate,informational,source_assertion,unclear,,0,none,Wording refers to laboratory/biomarker measurement content. Not evaluated for factual truth; historical source wording only.
STMT-HN-0066,SRC-HN-002,SREP-HN-002,table:0|row:6|col:0,table_cell,B1 / thiamine,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0067,SRC-HN-002,SREP-HN-002,table:0|row:6|col:1,table_cell,ThDP is a cofactor for pyruvate dehydrogenase and other energy-metabolism enzymes.,unclear,descriptive,candidate,informational,source_assertion,unclear,,0,none,General descriptive prose without clear directive or mechanism markers. Not evaluated for factual truth; historical source wording only.
STMT-HN-0068,SRC-HN-002,SREP-HN-002,table:0|row:6|col:2,table_cell,Important if deficiency or metabolic dysfunction is suspected; not proven as a direct hair-growth treatment.,unclear,descriptive,candidate,informational,source_assertion,unclear,,0,compound_statement,Long multi-clause wording treated as a single Pass-1 candidate; not split. Not evaluated for factual truth; historical source wording only.
STMT-HN-0069,SRC-HN-002,SREP-HN-002,table:0|row:7|col:0,table_cell,B2/B3/B5/B6/B12/folate,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0070,SRC-HN-002,SREP-HN-002,table:0|row:7|col:1,table_cell,"Support flavoproteins, NAD metabolism, CoA, amino-acid metabolism and DNA synthesis.",unclear,descriptive,candidate,informational,source_assertion,unclear,,0,none,General descriptive prose without clear directive or mechanism markers. Not evaluated for factual truth; historical source wording only.
STMT-HN-0071,SRC-HN-002,SREP-HN-002,table:0|row:7|col:2,table_cell,Correct deficiency; avoid assuming high-dose supplementation improves hair.,unclear,warning_or_boundary,candidate,recommendation,source_recommendation,unclear,,0,none,"Wording sets a caution, avoidance, or safety boundary. Not evaluated for factual truth; historical source wording only."
STMT-HN-0072,SRC-HN-002,SREP-HN-002,table:0|row:8|col:0,table_cell,Magnesium,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0073,SRC-HN-002,SREP-HN-002,table:0|row:8|col:1,table_cell,Supports ATP-dependent reactions and numerous enzymes.,unclear,descriptive,candidate,informational,source_assertion,unclear,,0,none,General descriptive prose without clear directive or mechanism markers. Not evaluated for factual truth; historical source wording only.
STMT-HN-0074,SRC-HN-002,SREP-HN-002,table:0|row:8|col:2,table_cell,Useful nutritional adequacy target; serum magnesium is an imperfect status marker.,unclear,laboratory_claim,candidate,informational,source_assertion,unclear,,0,none,Wording refers to laboratory/biomarker measurement content. Not evaluated for factual truth; historical source wording only.
STMT-HN-0075,SRC-HN-002,SREP-HN-002,table:0|row:9|col:0,table_cell,Selenium,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0076,SRC-HN-002,SREP-HN-002,table:0|row:9|col:1,table_cell,Required for selenoproteins involved in redox and thyroid physiology.,unclear,descriptive,candidate,informational,source_assertion,unclear,,0,none,General descriptive prose without clear directive or mechanism markers. Not evaluated for factual truth; historical source wording only.
STMT-HN-0077,SRC-HN-002,SREP-HN-002,table:0|row:9|col:2,table_cell,Deficiency and excess can both be harmful.,unclear,warning_or_boundary,candidate,informational,source_warning,unclear,,0,none,"Wording sets a caution, avoidance, or safety boundary. Not evaluated for factual truth; historical source wording only."
STMT-HN-0078,SRC-HN-002,SREP-HN-002,table:0|row:10|col:0,table_cell,Copper,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0079,SRC-HN-002,SREP-HN-002,table:0|row:10|col:1,table_cell,"Important for connective tissue, iron handling and enzymes.",unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,none,Wording asserts a nutrition-related proposition or nutrient role. Not evaluated for factual truth; historical source wording only.
STMT-HN-0080,SRC-HN-002,SREP-HN-002,table:0|row:10|col:2,table_cell,Especially important when zinc intake is high; test if clinically indicated.,unclear,nutritional_claim,candidate,informational,source_assertion,unclear,,0,none,Wording asserts a nutrition-related proposition or nutrient role. Not evaluated for factual truth; historical source wording only.
STMT-HN-0081,SRC-HN-002,SREP-HN-002,table:0|row:11|col:0,table_cell,Omega-3 fatty acids,repetition,classification,non_claim,none,structural_or_metadata,repetition,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
STMT-HN-0082,SRC-HN-002,SREP-HN-002,table:0|row:11|col:1,table_cell,Support membrane composition and inflammatory signaling.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0083,SRC-HN-002,SREP-HN-002,table:0|row:11|col:2,table_cell,Good dietary target; direct Wnt effects in human hair are not established.,unclear,mechanistic,candidate,informational,source_assertion,unclear,,0,none,Wording describes a proposed biological/signaling process. Not evaluated for factual truth; historical source wording only.
STMT-HN-0084,SRC-HN-002,SREP-HN-002,table:0|row:12|col:0,table_cell,Redox balance,unclear,classification,non_claim,none,structural_or_metadata,unclear,,0,none,Short label/heading or nutrient name used as structural descriptor in the source. Not evaluated for factual truth; historical source wording only.
